source,target
7079,9893
1166,3
18471,6941
118372,2320763
159468,226366
1744782,334719
1107983,3034732
1392200,19742
100503,3087
218366,75472
1331,2089117
74611,93528
1278693,13023
1245,17181
1916696,2778
4854362,8655
1195602,3
1173998,884
1331,2089833
1739,9274
148111,334719
1217771,1331
2778,33684
107322,864414
11678,1245
157434,8655
1193021,1331
8655,8658
110380,1827327
160589,97823
1262952,31309
1544194,9893
1292476,1736
1776,2559325
1760280,97823
31309,97772
8655,8665
107322,3549343
13301,181408
1878558,884
7202,97823
1407495,4706745
1736,2666286
1245,1362844
32461,9893
19303,3
1245,18998
107322,1519729
1331,2531569
1012651,13301
1030513,226366
2165,884
3084,41226
1736,4174034
13301,4610
175120,8655
163248,19742
68301,9893
122512,571562
1331,2082732
18471,4344194
1331,1440014
1739,41253
108,3
219382,3
4854333,8655
8655,8670
2545,884
1739,98596
1036174,74090
1245,1787408
18471,6944
18471,18476
1245,187565
18471,935545
7086,9893
1220206,3084
5313735,65717
1739,79050
13301,74042
1245,1580598
1245,52792
226366,2305430
1198603,298410
3084,63358
1225106,3084
3387062,8350
107322,1801182
1739,9295
11703,1736
1407498,1875841
13301,4669
3,30979
226366,2975
15899,1815194
1262956,31309
15899,2569490
158967,1739
2025042,97823
56367,74611
13301,84932
117314,1331
2484934,349
1331,1706653
2104889,226366
1331,4461235
1736,64213
74611,92178
1186354,1331
2778,68929
58769,74611
2975,74611
82702,89289
1107983,555316
20903,226366
10965,1776
107515,72450
1209256,9380
15899,216140
103,1245
181452,2778
138,884
529,532
1102260,2349593
13301,180615
1354657,226366
1776,1970993
1270880,3
1245,212003
1245,16851
4854337,8655
1331,582967
1111682,52057
226366,4094221
226366,25703
3,652
1424954,3
12415,3087
13301,1694951
1407498,78501
1893064,884
1245,40173
19742,2086735
145073,36911
12791,770
571911,80874
15899,5249985
13301,70261
15899,66554
1847898,75131
13023,1674235
115086,3
1308867,13301
1348591,167662
1545893,3
103853,120940
39545,57794
3087,82779
1008292,74611
2975,65717
1963069,65717
1272771,2778
8349,99885
1348591,5837134
52057,6930
130151,97823
13301,2351393
1107983,2826729
31309,3151
1739,59872
13301,1847406
298410,4079884
8349,87135
1402117,2975
3,86392
1174006,884
571562,66655
74611,964679
15152,3
1224317,884
1736,1800245
14895,8350
5313740,65717
74611,937009
191658,8349
15899,2332254
12214,2339151
1215522,1245
110001,13301
1086577,1407495
19742,5413723
226366,4094203
106811,3087
13301,14322
1955193,97823
1331,1668317
1461464,78576
132538,3
146392,226366
62036,97823
118372,66070
113461,13301
2778,70243
122451,13301
1245,1378833
1107983,2415974
1366927,18471
13301,1849298
18471,8691
107515,2975
4301541,74611
1723195,89289
1348591,1540615
1185286,3
5313744,65717
1271082,3
1107983,5555022
1210876,13301
133969,14320
1348591,5528354
113460,3
1036174,5130342
1228196,3084
1098068,13301
1561916,7202
38951,8655
226366,2505669
52057,58924
2879,8349
17306,25659
1407498,1875840
1245,4870542
1400110,3
1077303,2778
269139,884
1102260,2588394
1331,235025
11806,884
3084,68381
1292491,1736
12453,13301
12259,3
1107983,5554548
13301,1407993
10930,3
1001978,57799
1581646,3087
14508,80874
15899,519
1025686,1245
58552,884
1107983,3189460
1739,3017197
15515,80874
11701,1245
8655,8666
1756992,18471
118372,466505
141748,226366
2681783,74611
10279,1331
226366,2963
2585,3
1331,1424596
2778,4430
13301,929258
16754,3173
123526,19742
109439,75131
76496,884
1736,58744
21067,8350
1407495,5423532
2101525,8655
1736,75491
202402,3
117418,89289
18471,951993
3087,3279
21315,97823
5313731,65717
1739,7202
13301,240728
1245,3895
14999,52057
1107983,5554576
12055,8655
3,4012567
110380,57563
4090,52057
3291606,74611
3087,3353641
1454108,226366
1245,139820
13301,18308
1407495,3065411
3,8945
13473,52057
8350,9599
1245,525
13301,2640247
1245,54415
4854346,8655
226366,2507441
3663,7202
21702,3
1776,20766
182715,3
1219514,52057
16524,80874
13301,97351
1331,1892757
1292158,97823
1769,3087
1245,66221
131229,8349
130081,571562
1377370,14320
1245,2297907
14320,2685521
15899,70851
1640,7202
100907,7202
105057,2778
1072705,2778
49276,52057
63342,8349
1348591,1768965
2578741,97823
143786,334719
107322,1349330
52057,52597
1348591,3006308
1245,21134
7072,9893
12989,3
43524,7202
18471,2501104
1331,2082766
1331,2832843
3,50
2101509,8655
123879,1331
151680,65717
545358,89289
1281705,19742
13301,1692902
2204259,226366
3129,884
1776,7163
36811,89289
1348591,85138
1776,64
1331,1394433
1507846,18471
104149,3
52057,5320
1503036,3087
1331,1594403
2778,548085
1331,1739002
1331,1447518
1348591,1591212
1736,87312
14545,8349
13301,449538
1331,29094
1055173,8655
19742,86800
1245,59285
1348591,3934769
1447661,2778
1348591,2975
2968495,8655
1169818,97823
151007,1776
1519595,18471
1209244,2975
1230441,8655
65908,884
1133955,13301
1922,52057
1271107,3
1198148,97823
19742,5413781
166258,3
1900168,6384
1245,216676
19742,5413759
5281329,97823
1209245,1756358
1331,2832863
226366,80149
13301,1789250
1240816,12791
23975,3173
18471,187812
1227251,13301
228428,334719
2034458,216140
12095,65717
1245,2487737
13301,60473
1348591,2807739
13301,2751173
1107983,3189473
52057,8857
4429,884
13301,1858685
1736,5605
111195,1245
1610941,18471
200523,97823
226366,2504604
1331,1771750
19742,5413696
1407498,1875844
1169225,2778
1245,2378191
2605127,3084
13301,1730707
151961,3
113,1331
3084,6593
1212995,3087
155267,226366
145073,544409
3087,3281
151253,15899
12791,2296
1245,61880
13301,235435
118372,2645971
1212706,15899
1245,1706314
10764,3
1473,52057
105686,349
145073,7202
2975,6384
1176324,13301
52057,7134
1776,20215
1121,1245
20144,8349
4301587,74611
10959,3
1245,1604967
1871458,2778
3,6818
1245,1957145
107515,91351
14668,3
3087,3144
1325931,97823
1245,6968
2975,8350
13724,8349
118372,4425484
3087,76064
129394,1331
15899,1772622
18471,4344220
1038,52057
3,3556
1245,56523
1188878,89289
226366,5699
2975,550106
192,8655
3086,3087
3173,9597
1245,2746017
1102260,1240816
1142191,1331
1407495,3098445
1313615,2778
10850,1407498
1348591,5837148
12214,548398
17816,334719
1099717,18471
8655,8672
3061,8349
1331,65731
1245,58473
12214,19137
2098139,8349
172747,57799
1107983,1544133
1209254,2975
131625,3
128203,8655
1107983,7172
33343,78576
1331,2537855
1036174,4024031
1776,4517
1331,2832875
1407495,5423537
13301,2505634
4854315,8655
1503039,3087
1331,1483257
1348591,5837132
13301,22646
2166356,226366
13301,238825
8655,8663
1272766,2778
1447788,52057
16808,1736
15903,334719
1012562,3
1331,1333
107322,1194788
13301,80586
1245,172069
1457481,226366
11089,1736
226366,2528107
123258,334719
2975,3
2166741,8349
2778,96082
1348591,67600
1119345,13301
1736,209513
13301,52139
18471,4344190
1430217,3
1331,2082731
1776,3769
1245,567973
107322,1285716
1736,60874
1736,68180
1475891,2778
1107983,1180815
3,95778
15899,1642804
52057,80928
1739,3828463
3087,68186
2818940,89289
1245,5731299
9380,9384
3087,4111331
19742,2588671
1245,2378189
5313741,65717
160291,3
38225,74611
107322,3950930
50463,52605
1320,1331
116488,8349
1407495,5423534
15899,52605
14320,31140
1348591,3006310
2778,46392
2326451,3
13301,76594
1209245,192944
1407498,1875842
1245,2020904
74611,930705
21198,226366
12214,56890
1217871,13301
1107983,88094
107515,1946696
2140901,3
19508,571562
1532851,7202
1019,1442697
148693,1736
2578055,97823
1331,1369
218366,57593
31309,89289
1227348,13301
1212434,216140
1271124,3
4854316,8655
173193,89289
1198454,18471
1219295,571562
13301,21037
15899,20748
1736,35091
19742,2291222
1736,58528
139474,334719
3084,31844
107515,72988
13936,52057
15899,18471
1209245,1218244
2846278,8655
12214,31903
34982,571562
2681814,74611
1331,1687370
1291965,1736
110380,1586276
2778,980367
2548127,9893
1098036,52057
1252472,226366
1228886,75131
13301,6485
1348591,2648625
13301,1730710
15899,1765068
31162,571562
62,884
3173,77586
1348591,3030440
226366,571562
30269,52057
2085351,226366
1245,2298443
6588,884
1107983,184421
3,711
3173,65166
10223,1776
1348591,140567
145073,537581
1497291,31309
118372,1700631
18471,4344224
107700,3
1512188,1736
16939,8349
236489,89289
1250051,89289
1267158,89289
1331,1802028
206926,226366
119589,226366
1214171,226366
3,663
1736,18071
26753,2975
1650331,226366
1011669,18471
226366,2555587
1330,1331
52057,68926
1214345,1331
1776,1970997
2488,3
1723915,78576
5632,8349
13301,32715
110380,120575
1271125,3
1107983,3189461
1036174,5130348
15899,7852
1736,3603785
1274299,884
1936061,97823
1407495,1505807
19742,3009818
1424471,1739
117714,3
1280183,89289
1407498,2320880
65911,884
1107983,79473
13301,707
2975,9383
103853,1281832
1348591,14391
39545,9380
1209245,1915148
103853,2975
1736,45210
151318,3
13301,9245
1613049,226366
122378,8349
15899,35111
1221716,74611
17306,5659015
1331,4461205
1240816,210773
4300063,8655
133853,3087
1348591,52775
3387054,8350
118372,1908800
1736,19300
1229,8350
103853,1959113
3084,92706
1133063,1736
118372,2975
5823,74611
1331,4461234
19742,225931
3,5676
2939219,3087
14406,74611
131,226366
1910993,2778
1223657,1407498
118372,4425474
1331,15296
16035,1739
